Player,Weight (kg),Height (cm),Birthday,Year Turned Pro,Right-Left-Handed,Two-One-Backhanded,Matches,Wins,Losses,Winning Ratio,Ace (%),Double Fault (%),1st Serve In (%),1st Serve Win (%),2nd Serve Win (%),Total Points Win (%),Return Points Win (%),Dominant Rate
Go Soeda,73.0,178.0,1984-09-05,2003,1,1,1117,642,475,0.5747538048343778,5.019213973799127,3.276273653566226,58.34206695778746,69.9673944687045,52.75531295487623,50.8640465793304,39.27161572052403,1.1593595342066962
Lukas Rosol,83.0,193.0,1985-07-24,2004,1,1,1168,639,529,0.5470890410958904,7.594358974358982,4.223589743589739,59.827692307692374,72.495,50.117307692307705,49.975641025641046,36.37743589743585,1.0741923076923074
Richard Gasquet,79.0,183.0,1986-06-18,2002,1,0,1258,771,487,0.6128775834658188,7.174750227066314,3.253224341507723,61.06975476839235,73.31017257039052,53.33651226158043,51.73578564940965,38.242052679382454,1.2325522252497743
Guillermo Garcia Lopez,80.0,185.0,1983-06-04,2002,1,0,1097,568,529,0.5177757520510483,4.470320197044331,5.059852216748772,58.64950738916251,69.3703201970444,49.23903940886697,49.62204433497536,38.196059113300535,1.0646428571428557
Yen Hsun Lu,74.0,180.0,1983-08-14,2001,1,1,1077,652,425,0.6053853296193129,6.5932088285229185,4.281154499151103,61.09999999999995,72.50984719864184,53.178947368421014,51.36451612903232,38.307979626485505,1.2840237691001706
Denis Istomin,86.0,185.0,1986-09-07,2004,1,1,1069,561,508,0.5247895229186156,8.312125340599462,2.46198910081744,65.34604904632148,71.36689373297,51.35149863760214,50.091416893732955,35.82057220708449,1.1135149863760225
Daniel Gimeno Traver,80.0,183.0,1985-08-07,2004,1,1,1058,589,469,0.556710775047259,5.796214511041011,4.467034700315454,58.720662460567794,70.26955835962147,50.30504731861196,50.34179810725554,39.02712933753944,1.1205835962145105
Andy Murray,82.0,191.0,1987-05-15,2005,1,1,1139,842,297,0.7392449517120281,8.852195608782434,3.2110778443113794,58.39141716566865,74.90978043912179,52.75518962075848,53.38562874251499,41.70958083832334,1.311007984031935
Adrian Mannarino,79.0,180.0,1988-06-29,2004,0,1,1203,660,543,0.5486284289276808,6.589405405405408,3.2570810810810813,60.29621621621612,70.7179459459459,52.25913513513513,50.42616216216214,37.69675675675676,1.1394702702702728
Roberto Bautista Agut,75.0,183.0,1988-04-14,2005,1,1,1176,724,452,0.6156462585034014,4.054166666666669,2.554504504504504,65.64425675675675,70.19887387387391,54.62826576576578,52.108896396396396,39.82871621621626,1.2324549549549542
Andrea Arnaboldi,72.0,180.0,1987-12-27,2006,0,0,1078,517,561,0.47959183673469385,4.324143070044709,3.3822652757079013,60.19418777943359,67.75320417287628,51.90938897168407,49.159910581222015,36.395529061102785,1.0115797317436672
Aldin Setkic,86.0,191.0,1987-12-21,,1,1,1131,667,464,0.5897435897435898,6.685831062670302,5.092915531335152,64.80980926430519,69.28365122615806,48.787193460490435,48.99836512261578,35.50626702997276,1.0330517711171663
Nicolas Mahut,82.0,191.0,1982-01-21,2000,1,0,1023,568,455,0.555229716520039,9.84519230769231,4.265865384615379,61.43589743589738,74.37916666666665,51.17227564102565,50.2799679487179,35.26987179487175,1.1164743589743584
Fabio Fognini,79.0,178.0,1987-05-24,2004,1,1,1164,647,517,0.5558419243986255,3.9578246392896714,5.160044395116535,59.2037735849057,67.61886792452836,48.357269700332886,49.53496115427308,39.19478357380691,1.038634850166482
Lukas Lacko,87.0,188.0,1987-11-03,2005,1,1,1025,569,456,0.5551219512195122,9.301497005988036,3.1402694610778448,60.00089820359281,73.44206586826343,52.15494011976048,50.45269461077842,36.12215568862275,1.1608383233532937
Yannick Mertens,71.0,185.0,1987-06-25,2006,1,1,1037,611,426,0.5891996142719382,3.80738255033557,3.8734899328859096,63.244630872483214,66.40067114093956,48.98590604026843,48.46644295302011,36.93400673400675,1.0288926174496642
Malek Jaziri,83.0,185.0,1984-01-20,2003,1,1,1035,546,489,0.527536231884058,5.364885496183206,3.7624427480916016,54.11267175572514,70.21755725190843,49.93679389312971,49.12396946564879,36.998929663608564,1.0402442748091603
Jaroslav Pospisil,75.0,175.0,1981-02-09,,1,1,1022,601,421,0.5880626223091977,4.916143497757845,5.510313901345289,55.80269058295964,68.07757847533637,47.9928251121076,49.896412556053804,40.42466367713004,1.0597757847533638
Matteo Viola,80.0,185.0,1987-07-07,2004,1,1,1011,534,477,0.5281899109792285,2.176534296028881,5.664620938628159,64.93537906137182,63.22184115523465,46.33971119133572,49.5216606498195,41.63736462093866,1.0416064981949456
Adrian Menendez Maceiras,75.0,183.0,1985-10-28,2005,1,1,1027,549,478,0.5345666991236612,6.120800000000005,2.7776000000000023,60.96880000000001,69.95728000000005,51.416960000000024,50.25263999999997,37.91984,1.1091679999999988
Stan Wawrinka,81.0,183.0,1985-03-28,2002,1,0,1110,693,417,0.6243243243243243,8.84241119483315,3.0418729817007604,57.73832077502691,74.35339074273406,54.203444564047295,51.456620021528536,37.30236813778257,1.1699246501614633
Dudi Sela,65.0,175.0,1985-04-04,2002,1,0,1003,594,409,0.5922233300099701,3.2625827814569517,3.8965231788079464,60.551490066225114,68.41804635761594,52.466059602649,51.266721854304606,40.77698675496687,1.2030629139072846
Marin Cilic,89.0,198.0,1988-09-28,2005,1,1,1039,663,376,0.6381135707410972,11.867884828349954,3.673421926910303,56.969878183831646,77.20908084163904,52.89623477297898,52.10088593576963,37.87508305647846,1.2423145071982282
Dustin Brown,78.0,196.0,1984-12-08,2002,1,1,988,541,447,0.5475708502024291,11.205228758169929,5.534803921568625,59.64297385620916,74.81080196399344,49.567973856209136,49.85816993464048,34.9251633986928,1.06328431372549
Matthias Bachinger,86.0,188.0,1987-04-02,2005,1,1,997,540,457,0.5416248746238717,9.476234567901257,3.6570987654320963,60.081635802469094,73.77268518518514,50.310185185185205,51.468518518518565,38.75138888888888,1.2104938271604937
Marsel Ilhan,80.0,191.0,1987-06-11,2006,1,1,1012,588,424,0.5810276679841897,6.648123620309047,2.7249448123620295,61.624724061810184,70.89161147902861,50.76004415011042,50.162693156732885,37.374172185430446,1.117924944812362
Ivan Nedelko,80.0,185.0,1986-05-12,2006,1,1,997,596,401,0.5977933801404213,3.759701492537314,3.9746268656716444,55.287313432835845,62.634328358208954,45.85597014925374,46.08656716417908,36.487313432835826,0.8842537313432834
Tobias Kamke,76.0,178.0,1986-05-21,2004,1,1,962,502,460,0.5218295218295218,3.039002932551319,4.3293255131964825,58.84120234604107,68.33519061583576,51.62331378299113,50.881818181818154,40.46950146627563,1.1647360703812322
Mischa Zverev,88.0,191.0,1987-08-22,2005,0,1,960,483,477,0.503125,6.073023255813955,3.354728682170539,64.20651162790693,69.11705426356583,49.1573643410853,49.618139534883696,37.60465116279068,1.0976434108527127
Jo Wilfried Tsonga,93.0,188.0,1985-04-17,2004,1,1,952,641,311,0.6733193277310925,12.528245363766045,3.011412268188305,62.0807417974322,78.05620542082738,53.249643366619125,52.178316690442216,36.01854493580593,1.2694293865905866
Viktor Troicki,86.0,193.0,1986-02-10,2006,1,1,929,526,403,0.566200215285253,10.24212076583211,3.2402061855670095,61.27982326951396,72.51870397643607,48.3481590574374,50.184388807069304,37.53166421207657,1.1284830633284246
Ruben Bemelmans,75.0,183.0,1988-01-14,2006,0,1,937,534,403,0.5699039487726788,8.29861325115563,3.708782742681052,62.90061633281974,72.8864406779661,52.60231124807395,51.0539291217257,37.16070878274269,1.1924191063174112
Konstantin Kravchuk,80.0,191.0,1985-02-23,2004,1,1,947,546,401,0.5765575501583949,10.842315789473675,2.6766315789473674,63.66589473684214,73.75705263157893,51.97136842105264,50.45305263157894,35.395157894736805,1.1897052631578948
Gael Monfils,85.0,193.0,1986-09-01,2004,1,1,1029,649,380,0.630709426627794,10.612101210121006,4.561936193619365,62.2409240924092,73.41969196919689,50.292079207920715,51.307810781078054,38.31903190319029,1.1673047304730495
Pablo Cuevas,78.0,180.0,1986-01-01,2004,1,0,940,558,382,0.5936170212765958,6.97914614121511,3.538259441707718,60.8348111658457,71.73087027914609,52.83410214168041,51.137931034482726,38.315599343185546,1.1808702791461403
Joao Sousa,74.0,185.0,1989-03-30,2008,1,1,1004,514,490,0.5119521912350598,4.526953125000007,2.816015624999999,61.30286458333334,69.46328124999997,50.224641460234686,49.737841352405724,37.74044213263977,1.0671781534460334
Robin Haase,77.0,191.0,1987-04-06,2005,1,1,953,522,431,0.5477439664218258,7.88023872679045,3.5946949602122005,59.298673740053054,72.53275862068968,50.28076923076922,50.381564986737345,37.33660477453582,1.1045888594164452
Facundo Bagnis,82.0,183.0,1990-02-27,2008,0,1,1039,610,429,0.5871029836381135,5.765142857142864,4.694857142857145,60.965599999999945,69.79794285714289,50.90320000000001,51.3539428571429,40.270399999999995,1.1585600000000005
Pablo Andujar,80.0,180.0,1986-01-23,2003,1,1,940,494,446,0.5255319148936171,2.250741350906096,4.546622734761122,63.01845140032946,64.94777594728171,49.6018151815181,49.940197693574945,40.81532125205931,1.0749588138385509
Mikhail Kukushkin,72.0,183.0,1987-12-26,2006,1,1,1066,591,475,0.5544090056285178,4.165591397849465,1.9082437275985655,61.56105137395459,67.77526881720433,53.49127837514935,50.61230585424141,38.9307048984468,1.1350179211469527
Stephane Robert,77.0,185.0,1980-05-17,2001,1,1,915,541,374,0.5912568306010929,5.694291754756867,4.905073995771669,53.9179704016913,69.87610993657503,48.340591966173335,50.02790697674417,40.403594080338245,1.077420718816067
Radu Albot,69.0,175.0,1989-11-11,2008,1,1,1070,604,466,0.5644859813084112,2.901139240506329,3.5301265822784837,64.96658227848093,66.22037974683549,50.417594936708824,50.38189873417727,39.89873417721515,1.0834810126582284
Blaz Kavcic,78.0,188.0,1987-03-05,2005,1,1,910,543,367,0.5967032967032967,6.0056572379367745,4.519134775374381,63.36006655574044,69.52795341098172,49.24658901830281,51.886189683860195,42.11064891846922,1.2305657237936782
Andrej Martin,83.0,183.0,1989-09-20,2007,1,1,952,541,411,0.5682773109243697,3.647611940298512,4.507462686567165,62.240597014925356,66.07746268656716,48.75268656716412,50.72343283582084,42.089835575485786,1.1106417910447766
Benoit Paire,80.0,196.0,1989-05-08,2007,1,1,1060,557,503,0.5254716981132076,10.069707207207209,6.319144144144147,52.28693693693697,74.1024774774775,45.705180180180186,49.544369369369356,38.525704622322415,1.0368806306306302
Tatsuma Ito,75.0,180.0,1988-05-18,2006,1,1,970,546,424,0.5628865979381443,6.010164424514203,4.252017937219738,60.52825112107618,70.25919282511211,50.92571001494771,50.28520179372197,38.28071748878924,1.1521674140508218
Santiago Giraldo,75.0,188.0,1987-11-27,2004,1,1,908,517,391,0.5693832599118943,5.145999999999998,2.174909090909091,62.3205454545455,70.09090909090911,52.06229508196723,50.58509090909094,37.91545454545452,1.1098727272727267
Peter Polansky,80.0,183.0,1988-06-15,2007,1,1,898,492,406,0.5478841870824054,6.11843971631206,3.786879432624117,57.802659574468095,69.77446808510649,52.059042553191446,49.890957446808514,37.484042553191486,1.076382978723404
Kevin Anderson,94.0,203.0,1986-05-18,2007,1,1,901,555,346,0.6159822419533851,16.084500745156493,3.623248882265279,64.62593144560357,77.59523099850978,54.24187779433682,51.79999999999995,34.933532041728775,1.2720566318926974
Steve Darcis,78.0,175.0,1984-03-13,2003,1,0,885,553,332,0.6248587570621469,5.574329501915708,2.6586206896551734,60.880842911877366,70.62509578544065,52.46468330134358,51.12988505747124,39.012284069097845,1.164942528735632
Steven Diez,75.0,175.0,1991-03-17,2009,1,1,1008,551,457,0.5466269841269841,2.3640873015873005,3.9325396825396806,62.519642857142884,64.24543650793652,48.040674603174594,49.0065476190476,39.80000000000004,1.0281944444444444
Yuichi Sugita,72.0,175.0,1988-09-18,2006,1,1,882,508,374,0.5759637188208617,4.573417721518992,2.9797468354430405,60.86202531645576,68.72662440570527,51.31455696202532,50.37567140600317,38.83854660347549,1.1166982622432875
Jeremy Chardy,75.0,188.0,1987-02-12,2005,1,1,885,472,413,0.5333333333333333,10.397991391678621,5.222668579626974,60.25451936872311,74.49870875179346,50.24835007173599,50.22697274031563,35.72725968436151,1.117647058823529
Thomaz Bellucci,82.0,188.0,1987-12-30,2005,0,1,883,474,409,0.5368063420158551,6.974019607843142,4.12647058823529,58.08709150326796,70.3019607843137,51.50539215686276,50.30947712418294,38.55212418300654,1.104477124183007
Ernests Gulbis,85.0,191.0,1988-08-30,2004,1,1,865,468,397,0.5410404624277456,11.374068554396437,5.9633383010432235,58.46214605067062,75.35648286140082,48.43874813710877,50.104470938897165,36.02816691505217,1.10026825633383
John Isner,108.0,208.0,1985-04-26,2007,1,1,897,550,347,0.6131549609810479,21.423047375160063,2.6084507042253526,68.87861715749035,79.08425096030729,56.56504481434061,50.846094750320106,29.757490396927043,1.1807170294494223
Mohamed Safwat,83.0,180.0,1990-09-19,2008,1,1,1038,616,422,0.5934489402697495,5.303950617283954,3.8153086419753057,59.563950617284,69.05975308641978,49.41481481481483,48.813827160493815,36.52493827160491,1.025925925925925
Peter Gojowczyk,83.0,188.0,1989-07-15,2006,1,1,916,498,418,0.5436681222707423,9.380858085808594,4.991089108910899,53.93481848184816,74.89323432343231,49.05462046204618,50.33531353135312,37.84884488448841,1.1394059405940593
Illya Marchenko,87.0,185.0,1987-09-08,2006,1,1,972,539,433,0.5545267489711934,6.979782903663511,4.852781546811399,57.636499321573964,72.71628222523736,51.19796472184531,50.840976933514234,38.31126187245586,1.1260108548168246
David Goffin,70.0,180.0,1990-12-07,2009,1,1,1018,642,376,0.630648330058939,7.036614645858342,4.428811524609844,58.25918367346935,72.28835534213682,51.15702280912369,51.86518607442985,40.71560624249702,1.2222929171668666
Thomas Fabbiano,70.0,173.0,1989-05-26,2005,1,1,850,463,387,0.5447058823529412,2.73547237076649,3.852584670231727,63.92067736185379,65.52673796791439,51.23761140819959,49.97950089126557,39.79037433155082,1.0865418894830656
Miljan Zekic,79.0,185.0,1988-07-12,,1,1,954,571,383,0.5985324947589099,5.805243445692885,3.538202247191009,61.249063670411964,68.24119850187266,47.00636704119852,48.67977528089888,37.116104868913865,1.0046441947565554
Sam Querrey,95.0,198.0,1987-10-07,2006,1,1,846,474,372,0.5602836879432624,16.043559096945557,4.306640106241706,59.17848605577695,79.368791500664,51.00039840637454,51.17941567065067,34.76839309428949,1.1797476759628156
Daniel Dutra da Silva,75.0,173.0,1988-07-05,2007,0,1,1007,607,400,0.602780536246276,4.855263157894742,4.649122807017544,57.829385964912305,66.87280701754388,47.77017543859646,49.41052631578947,39.7828947368421,1.0589912280701756
Frank Dancevic,79.0,185.0,1984-09-26,2003,1,0,816,468,348,0.5735294117647058,10.755630630630634,3.1536036036036026,59.20855855855853,74.39594594594597,51.86666666666667,50.23243243243241,35.61689189189192,1.14
Alejandro Gonzalez,83.0,191.0,1989-02-07,2006,1,1,845,461,384,0.5455621301775148,4.094957983193278,3.167226890756303,61.61596638655464,66.4304621848739,49.334033613445385,49.803571428571466,39.85378151260506,1.0762605042016802
Diego Schwartzman,64.0,170.0,1992-08-16,2010,1,1,928,551,377,0.59375,2.484657534246575,3.926986301369866,63.39301369863011,65.29287671232878,50.25643835616434,51.37287671232879,43.264520547945146,1.162904109589041
Hiroki Moriya,65.0,168.0,1990-10-16,,1,1,996,526,470,0.5281124497991968,3.5413010590015146,4.324357034795769,59.144175491679235,65.87216338880486,49.41497730711045,49.10393343419063,39.08865355521934,1.039319213313161
Donald Young,79.0,183.0,1989-07-23,2004,0,1,874,459,415,0.5251716247139588,3.977130044843053,5.66158445440957,60.97518684603887,68.2544095665172,49.4307922272048,49.792825112107636,38.545590433482786,1.0786248131539604
Leonardo Mayer,80.0,191.0,1987-05-15,2003,1,0,833,466,367,0.5594237695078031,7.673539518900344,4.75910652920962,60.79587628865978,73.66357388316162,52.90601374570445,50.93745704467354,36.72302405498283,1.1680584192439856
Evgeny Donskoy,75.0,185.0,1990-05-09,2007,1,1,966,518,448,0.5362318840579711,7.160709914320697,2.9747858017135895,58.39498164014687,73.12741738066096,52.72851897184828,50.587882496940004,36.87576499388001,1.1613586291309688
Igor Sijsling,85.0,191.0,1987-08-18,2006,1,0,830,470,360,0.5662650602409639,8.888723404255323,3.0980851063829755,59.5697872340426,74.0231914893617,50.442127659574474,50.592127659574466,37.05319148936171,1.154319148936168
Federico Coria,73.0,180.0,1992-03-09,2010,1,1,993,596,397,0.6002014098690835,2.9171985815602834,3.584751773049645,68.21152482269511,63.97890070921994,50.159574468085076,50.973936170212774,42.49468085106385,1.1333865248226966
Roberto Carballes Baena,77.0,183.0,1993-03-23,2011,1,1,974,574,400,0.5893223819301848,3.3334661354581665,3.628685258964149,63.3841965471447,67.39362549800802,51.466932270916345,51.363479415670646,41.42974767596278,1.192098273572378
Dusan Lajovic,83.0,183.0,1990-06-30,2007,1,0,942,503,439,0.5339702760084926,5.015864759427831,2.337711313394015,65.26866059817954,68.91079323797145,52.894278283484994,50.383485045513666,37.455396618985695,1.1052535760728222
Matthew Ebden,80.0,188.0,1987-11-26,2006,1,1,819,457,362,0.557997557997558,8.126064735945478,5.474105621805791,62.18807495741055,72.64446337308343,49.38960817717209,50.83458262350941,37.84752981260644,1.1719591141396928
Andrey Golubev,77.0,180.0,1987-07-22,2005,1,0,818,435,383,0.5317848410757946,6.581590909090911,4.277954545454545,59.88068181818181,70.64068181818182,51.22704545454546,49.728636363636404,36.41863636363636,1.123636363636363
Taro Daniel,84.0,191.0,1993-01-27,2010,1,1,965,556,409,0.5761658031088083,4.406172839506175,3.5224965706447158,62.380932784636464,68.28024691358023,51.348285322359416,50.64334705075445,39.30987654320985,1.128257887517148
Pablo Carreno Busta,78.0,188.0,1991-07-12,2009,1,1,880,554,326,0.6295454545454545,5.313888888888891,2.4972222222222213,63.467251461988326,70.44195906432746,52.59795321637426,51.52032163742687,39.392836257309966,1.1942982456140356
Jan Lennard Struff,92.0,193.0,1990-04-25,2009,1,1,966,550,416,0.5693581780538303,10.517490494296592,4.657794676806085,56.403041825095045,75.85969581749045,51.241444866920155,51.21368821292777,37.54765525982257,1.1791381495563997
Brydan Klein,83.0,188.0,1989-12-31,2007,1,1,817,474,343,0.5801713586291309,8.551779935275084,5.393527508090613,60.60453074433656,71.34110032362463,49.04563106796116,49.57411003236245,36.41558441558439,1.056731391585761
Norbert Gombos,85.0,193.0,1990-08-13,2009,1,1,917,516,401,0.5627044711014176,7.336592592592595,4.738074074074077,60.55229629629629,72.59081481481485,50.104888888888915,51.04562962962964,38.67407407407405,1.1443851851851847
Ricardas Berankis,77.0,175.0,1990-06-21,2007,1,1,939,553,386,0.5889243876464324,6.150252525252536,4.043181818181817,57.807070707070714,72.40467171717182,53.53623737373748,51.27828282828281,38.59659090909088,1.1794570707070708
Gastao Elias,76.0,180.0,1990-11-24,2008,1,1,936,516,420,0.5512820512820513,5.194910591471803,4.071939477303992,54.18803301237963,70.28858321870699,50.06918844566714,50.43447802197806,40.196565934065895,1.12021978021978
Luca Vanni,94.0,198.0,1985-06-04,,1,1,807,456,351,0.5650557620817844,13.035582822085894,3.9815950920245404,59.49723926380371,75.06257668711652,49.1079754601227,50.039877300613455,35.696012269938656,1.0880674846625766
Federico Gaio,83.0,178.0,1992-03-05,2009,1,0,916,491,425,0.5360262008733624,6.746276595744678,5.156560283687941,56.94255319148936,71.56117021276602,50.390070921985824,49.68014184397166,37.26914893617021,1.0761170212765954
Roberto Ortega Olmedo,70.0,168.0,1991-04-30,,1,0,801,455,346,0.568039950062422,3.0105990783410124,4.619815668202767,57.285714285714334,65.63594470046085,48.777419354838706,48.13317972350231,37.684331797235046,0.9748387096774191
Rajeev Ram,84.0,193.0,1984-03-18,2004,1,0,798,409,389,0.5125313283208021,10.308215962441315,3.2579812206572765,61.96948356807516,74.39647887323942,50.71455399061029,49.998826291079745,35.10727699530513,1.1274882629107978
Vasek Pospisil,88.0,193.0,1990-06-23,2007,1,1,868,497,371,0.5725806451612904,12.345760233918133,4.54912280701755,57.58684210526316,77.25657894736841,51.85818713450295,51.04064327485385,35.532602339181274,1.1723099415204676
Federico Delbonis,90.0,193.0,1990-10-05,2007,0,1,848,468,380,0.5518867924528302,4.91981132075472,4.336927223719674,61.958086253369245,70.61307277628032,52.0836707152497,51.265768194070034,39.32439353099725,1.1841644204851756
Frederik Nielsen,87.0,188.0,1983-08-27,2001,1,1,795,472,323,0.5937106918238994,5.408243727598567,4.027240143369173,59.853046594982104,68.46021505376349,50.74408602150537,50.67383512544802,40.06223021582732,1.12426523297491
Marius Copil,88.0,191.0,1990-10-17,2008,1,0,887,478,409,0.5388951521984217,13.135163204747775,4.006083086053416,58.928041543026694,76.27373887240354,53.27102526002971,50.54866468842732,34.612166172106825,1.163857566765579
Daniel Evans,75.0,175.0,1990-05-23,2006,1,0,914,542,372,0.5929978118161926,5.855123674911658,3.7957597173144864,61.325088339222624,71.62261484098934,51.67385159010599,50.97102473498232,38.24522968197876,1.149098939929328
Grigor Dimitrov,81.0,191.0,1991-05-16,2008,1,0,941,585,356,0.6216790648246546,9.178371810449576,4.3012150668286795,61.907411907654826,75.94410692588087,52.14835965978122,52.01725394896723,37.61178614823812,1.2474848116646398
Jimmy Connors,70.0,178.0,1952-09-02,1972,0,1,1632,1322,310,0.8100490196078431,2.134177215189873,2.896202531645571,65.3873417721519,62.65189873417723,49.70506329113922,49.56582278481013,40.65316455696202,1.0208860759493674
Kei Nishikori,73.0,178.0,1989-12-29,2007,1,1,841,572,269,0.6801426872770512,4.190482758620694,3.3482758620689648,61.559034482758584,70.54813793103452,53.6906206896551,51.76579310344828,39.68979310344825,1.1795172413793102
Denis Kudla,79.0,180.0,1992-08-17,2010,1,1,899,497,402,0.5528364849833148,6.802125000000005,4.064124999999999,58.60912500000002,70.53050000000013,51.443000000000026,50.53724999999999,38.72562499999993,1.1318249999999994
Damir Dzumhur,68.0,175.0,1992-05-20,2011,1,1,952,555,397,0.582983193277311,2.8138925294888604,3.2526867627785103,65.3663171690695,65.41520314547834,51.33097112860895,50.81887287024898,41.56889763779526,1.138912188728701
Kenny De Schepper,100.0,203.0,1987-05-29,2010,0,0,927,484,443,0.5221143473570659,10.046518987341782,4.601898734177212,68.68227848101267,72.28053797468354,50.5371835443038,50.612341772151964,35.87781299524562,1.1397784810126592
Martin Klizan,85.0,191.0,1989-07-11,2007,0,1,838,482,356,0.5751789976133651,5.52792642140469,4.632775919732442,57.17023411371233,69.05317725752509,50.57575250836123,50.32508361204019,39.190301003344466,1.0862709030100344
Lorenzo Giustino,80.0,180.0,1991-09-10,2007,1,1,943,475,468,0.503711558854719,5.01627486437613,5.0233273056057905,58.104339963833645,67.30379746835438,46.92567811934896,49.00687160940326,38.86980108499094,1.0022603978300182
Alessandro Bega,70.0,170.0,1991-01-11,,1,1,774,457,317,0.5904392764857881,2.1697674418604658,3.8593023255813943,63.64244186046513,63.84534883720933,46.86220930232558,47.968023255813954,37.90465116279068,0.9762209302325581
Jonathan Eysseric,80.0,180.0,1990-05-27,2008,0,1,783,429,354,0.5478927203065134,6.359836065573771,5.224999999999995,57.51311475409833,67.64344262295083,45.962295081967234,48.32909836065577,37.69672131147544,0.9724999999999996
Peter Torebko,84.0,185.0,1988-02-10,2008,1,1,768,449,319,0.5846354166666666,7.236082474226808,6.772680412371131,55.41701030927832,69.98195876288663,46.76958762886598,49.55773195876289,39.813402061855655,1.0474226804123716
Guido Pella,79.0,183.0,1990-05-17,2007,0,1,785,459,326,0.5847133757961783,5.593750000000002,3.4665441176470586,64.28713235294116,68.92077205882347,51.5955882352941,50.95716911764702,39.41856617647061,1.137058823529411
Juan Martin del Potro,97.0,198.0,1988-09-23,2005,1,1,759,535,224,0.7048748353096179,10.148903878583475,2.987689713322092,64.01197301854974,75.1942664418212,53.98785834738617,52.950084317032015,39.11281618887012,1.3148903878583476
Oriol Roca Batalla,75.0,173.0,1993-04-30,,1,0,937,580,357,0.6189967982924226,4.428104575163402,3.373529411764706,60.42450980392156,68.10718954248365,49.73508196721312,49.76143790849671,38.26960784313726,1.0596405228758174
Andrea Collarini,78.0,183.0,1992-01-31,2010,0,1,887,497,390,0.560315670800451,3.2904494382022498,4.427340823970037,65.18108614232214,66.57041198501871,50.60149812734082,50.42790262172286,39.76947565543072,1.1315730337078662
John Millman,79.0,183.0,1989-06-14,2006,1,1,769,450,319,0.5851755526657998,5.145183887915939,2.432224168126093,61.95359019264452,69.19474605954466,53.44518388791592,51.503502626970274,39.785113835376485,1.172049036777582
